x, y, ksi, T
#iter= 1460000
0 0 0 1 
0.05 0 0 1 
0.1 0 0 1 
0.15 0 0 1 
0.2 0 0 1 
0.25 0 0 1 
0.3 0 0 1 
0.35 0 0 1 
0.4 0 0 1 
0.45 0 0 1 
0.5 0 0 1 
0.55 0 0 1 
0.6 0 0 1 
0.65 0 0 1 
0.7 0 0 1 
0.75 0 0 1 
0.8 0 0 1 
0.85 0 0 1 
0.9 0 0 1 
0.95 0 0 1 
1 0 0 1 
1.05 0 0 1 
1.1 0 0 1 
1.15 0 0 1 
1.2 0 0 1 
1.25 0 0 1 
1.3 0 0 1 
1.35 0 0 1 
1.4 0 0 1 
1.45 0 0 1 
1.5 0 0 1 
1.55 0 0 1 
1.6 0 0 1 
1.65 0 0 1 
1.7 0 0 1 
1.75 0 0 1 
1.8 0 0 1 
1.85 0 0 1 
1.9 0 0 1 
1.95 0 0 1 
2 0 0 1 
2.05 0 0 1 
2.1 0 0 1 
2.15 0 0 1 
2.2 0 0 1 
2.25 0 0 1 
2.3 0 0 1 
2.35 0 0 1 
2.4 0 0 1 
2.45 0 0 1 
2.5 0 0 1 
2.55 0 0 1 
2.6 0 0 1 
2.65 0 0 1 
2.7 0 0 1 
2.75 0 0 1 
2.8 0 0 1 
2.85 0 0 1 
2.9 0 0 1 
2.95 0 0 1 
3 0 0 1 
3.05 0 0 1 
3.1 0 0 1 
3.15 0 0 1 
3.2 0 0 1 
3.25 0 0 1 
3.3 0 0 1 
3.35 0 0 1 
3.4 0 0 1 
3.45 0 0 1 
3.5 0 0 1 
3.55 0 0 1 
3.6 0 0 1 
3.65 0 0 1 
3.7 0 0 1 
3.75 0 0 1 
3.8 0 0 1 
3.85 0 0 1 
3.9 0 0 1 
3.95 0 0 1 
4 0 0 1 
4.05 0 0 1 
4.1 0 0 1 
4.15 0 0 1 
4.2 0 0 1 
4.25 0 0 1 
4.3 0 0 1 
4.35 0 0 1 
4.4 0 0 1 
4.45 0 0 1 
4.5 0 0 1 
4.55 0 0 1 
4.6 0 0 1 
4.65 0 0 1 
4.7 0 0 1 
4.75 0 0 1 
4.8 0 0 1 
4.85 0 0 1 
4.9 0 0 1 
4.95 0 0 1 
5 0 0 1 
0 0.05 -0.00646627 0.884713 
0.05 0.05 -0.00437224 0.881703 
0.1 0.05 -0.00218744 0.879943 
0.15 0.05 2.29478e-05 0.879411 
0.2 0.05 0.00220119 0.880088 
0.25 0.05 0.00428347 0.881948 
0.3 0.05 0.00620512 0.884947 
0.35 0.05 0.00790542 0.889025 
0.4 0.05 0.00933054 0.894105 
0.45 0.05 0.010435 0.900097 
0.5 0.05 0.0111823 0.906891 
0.55 0.05 0.0115451 0.914352 
0.6 0.05 0.0115051 0.922315 
0.65 0.05 0.0110542 0.93056 
0.7 0.05 0.0101957 0.938805 
0.75 0.05 0.00894661 0.946695 
0.8 0.05 0.0073407 0.953801 
0.85 0.05 0.00543038 0.959657 
0.9 0.05 0.00328725 0.96381 
0.95 0.05 0.000999754 0.965902 
1 0.05 -0.00133221 0.965741 
1.05 0.05 -0.00360503 0.96334 
1.1 0.05 -0.00572003 0.958922 
1.15 0.05 -0.00759092 0.952864 
1.2 0.05 -0.00914879 0.945622 
1.25 0.05 -0.010344 0.937663 
1.3 0.05 -0.0111456 0.929404 
1.35 0.05 -0.0115386 0.921193 
1.4 0.05 -0.0115217 0.913301 
1.45 0.05 -0.0111052 0.905939 
1.5 0.05 -0.0103089 0.899267 
1.55 0.05 -0.00916246 0.893417 
1.6 0.05 -0.00770482 0.888494 
1.65 0.05 -0.00598441 0.884587 
1.7 0.05 -0.00405865 0.881765 
1.75 0.05 -0.00199279 0.880082 
1.8 0.05 0.000142145 0.879569 
1.85 0.05 0.00227215 0.880238 
1.9 0.05 0.00432345 0.882074 
1.95 0.05 0.00622563 0.885042 
2 0.05 0.00791437 0.889089 
2.05 0.05 0.00933339 0.89414 
2.1 0.05 0.0104355 0.900105 
2.15 0.05 0.011183 0.906876 
2.2 0.05 0.0115476 0.914319 
2.25 0.05 0.0115104 0.922267 
2.3 0.05 0.011063 0.930502 
2.35 0.05 0.0102081 0.938743 
2.4 0.05 0.00896254 0.946633 
2.45 0.05 0.00735982 0.953745 
2.5 0.05 0.0054521 0.959613 
2.55 0.05 0.00331076 0.963784 
2.6 0.05 0.00102409 0.965897 
2.65 0.05 -0.0013081 0.965758 
2.7 0.05 -0.00358218 0.963378 
2.75 0.05 -0.00569935 0.958979 
2.8 0.05 -0.00757316 0.952934 
2.85 0.05 -0.00913452 0.945701 
2.9 0.05 -0.0103336 0.937747 
2.95 0.05 -0.0111391 0.929489 
3 0.05 -0.0115361 0.921275 
3.05 0.05 -0.0115231 0.913379 
3.1 0.05 -0.0111102 0.90601 
3.15 0.05 -0.0103173 0.899332 
3.2 0.05 -0.00917382 0.893473 
3.25 0.05 -0.00771873 0.888541 
3.3 0.05 -0.00600034 0.884624 
3.35 0.05 -0.00407602 0.881793 
3.4 0.05 -0.002011 0.880099 
3.45 0.05 0.000123734 0.879577 
3.5 0.05 0.00225417 0.880235 
3.55 0.05 0.0043065 0.882062 
3.6 0.05 0.00621024 0.885022 
3.65 0.05 0.00790102 0.88906 
3.7 0.05 0.00932245 0.894103 
3.75 0.05 0.0104273 0.900062 
3.8 0.05 0.0111777 0.906827 
3.85 0.05 0.0115454 0.914266 
3.9 0.05 0.0115115 0.92221 
3.95 0.05 0.0110672 0.930444 
4 0.05 0.0102155 0.938686 
4.05 0.05 0.00897313 0.946581 
4.1 0.05 0.0073733 0.953702 
4.15 0.05 0.00546813 0.959583 
4.2 0.05 0.00332887 0.963771 
4.25 0.05 0.00104367 0.965906 
4.3 0.05 -0.00128774 0.965791 
4.35 0.05 -0.0035618 0.963439 
4.4 0.05 -0.00567978 0.959065 
4.45 0.05 -0.00755529 0.953046 
4.5 0.05 -0.00911936 0.945839 
4.55 0.05 -0.0103225 0.937907 
4.6 0.05 -0.0111339 0.929671 
4.65 0.05 -0.0115396 0.921477 
4.7 0.05 -0.0115396 0.913598 
4.75 0.05 -0.0111463 0.906241 
4.8 0.05 -0.0103832 0.899566 
4.85 0.05 -0.00928501 0.893695 
4.9 0.05 -0.00789959 0.888722 
4.95 0.05 -0.00628678 0.884713 
5 0.05 -0.00449491 0.881703 
0 0.1 -0.021817 0.770761 
0.05 0.1 -0.0149689 0.76485 
0.1 0.1 -0.00752455 0.761325 
0.15 0.1 0.000147061 0.760242 
0.2 0.1 0.00776126 0.761583 
0.25 0.1 0.0150603 0.76529 
0.3 0.1 0.0218037 0.771272 
0.35 0.1 0.0277718 0.779406 
0.4 0.1 0.0327716 0.789537 
0.45 0.1 0.0366406 0.801483 
0.5 0.1 0.0392486 0.815025 
0.55 0.1 0.0404992 0.829904 
0.6 0.1 0.0403304 0.845791 
0.65 0.1 0.0387171 0.862264 
0.7 0.1 0.0356766 0.878768 
0.75 0.1 0.0312756 0.894594 
0.8 0.1 0.0256381 0.908883 
0.85 0.1 0.0189512 0.920686 
0.9 0.1 0.0114654 0.929074 
0.95 0.1 0.0034857 0.933306 
1 0.1 -0.00464585 0.932979 
1.05 0.1 -0.0125754 0.928125 
1.1 0.1 -0.0199649 0.919203 
1.15 0.1 -0.0265163 0.906994 
1.2 0.1 -0.0319879 0.892437 
1.25 0.1 -0.036202 0.876476 
1.3 0.1 -0.0390436 0.859951 
1.35 0.1 -0.040454 0.843548 
1.4 0.1 -0.0404233 0.827801 
1.45 0.1 -0.038983 0.81312 
1.5 0.1 -0.0362022 0.799819 
1.55 0.1 -0.0321846 0.788153 
1.6 0.1 -0.0270687 0.778332 
1.65 0.1 -0.0210262 0.770532 
1.7 0.1 -0.0142605 0.764898 
1.75 0.1 -0.00700194 0.761536 
1.8 0.1 0.000499477 0.760512 
1.85 0.1 0.00798358 0.761847 
1.9 0.1 0.0151909 0.765515 
1.95 0.1 0.0218736 0.771443 
2 0.1 0.0278045 0.779519 
2.05 0.1 0.0327842 0.789595 
2.1 0.1 0.0366452 0.80149 
2.15 0.1 0.0392538 0.814989 
2.2 0.1 0.0405105 0.829832 
2.25 0.1 0.0403513 0.845691 
2.3 0.1 0.0387496 0.862145 
2.35 0.1 0.0357215 0.878639 
2.4 0.1 0.0313325 0.894467 
2.45 0.1 0.0257059 0.908769 
2.5 0.1 0.0190278 0.920597 
2.55 0.1 0.011548 0.92902 
2.6 0.1 0.00357103 0.933294 
2.65 0.1 -0.00456135 0.933012 
2.7 0.1 -0.0124953 0.928201 
2.75 0.1 -0.0198923 0.919316 
2.8 0.1 -0.0264537 0.907135 
2.85 0.1 -0.0319374 0.892596 
2.9 0.1 -0.0361648 0.876644 
2.95 0.1 -0.0390203 0.86012 
3 0.1 -0.0404447 0.843712 
