x, y, ksi, T
#iter= 1560000
0 0 0 1 
0.05 0 0 1 
0.1 0 0 1 
0.15 0 0 1 
0.2 0 0 1 
0.25 0 0 1 
0.3 0 0 1 
0.35 0 0 1 
0.4 0 0 1 
0.45 0 0 1 
0.5 0 0 1 
0.55 0 0 1 
0.6 0 0 1 
0.65 0 0 1 
0.7 0 0 1 
0.75 0 0 1 
0.8 0 0 1 
0.85 0 0 1 
0.9 0 0 1 
0.95 0 0 1 
1 0 0 1 
1.05 0 0 1 
1.1 0 0 1 
1.15 0 0 1 
1.2 0 0 1 
1.25 0 0 1 
1.3 0 0 1 
1.35 0 0 1 
1.4 0 0 1 
1.45 0 0 1 
1.5 0 0 1 
1.55 0 0 1 
1.6 0 0 1 
1.65 0 0 1 
1.7 0 0 1 
1.75 0 0 1 
1.8 0 0 1 
1.85 0 0 1 
1.9 0 0 1 
1.95 0 0 1 
2 0 0 1 
2.05 0 0 1 
2.1 0 0 1 
2.15 0 0 1 
2.2 0 0 1 
2.25 0 0 1 
2.3 0 0 1 
2.35 0 0 1 
2.4 0 0 1 
2.45 0 0 1 
2.5 0 0 1 
2.55 0 0 1 
2.6 0 0 1 
2.65 0 0 1 
2.7 0 0 1 
2.75 0 0 1 
2.8 0 0 1 
2.85 0 0 1 
2.9 0 0 1 
2.95 0 0 1 
3 0 0 1 
3.05 0 0 1 
3.1 0 0 1 
3.15 0 0 1 
3.2 0 0 1 
3.25 0 0 1 
3.3 0 0 1 
3.35 0 0 1 
3.4 0 0 1 
3.45 0 0 1 
3.5 0 0 1 
3.55 0 0 1 
3.6 0 0 1 
3.65 0 0 1 
3.7 0 0 1 
3.75 0 0 1 
3.8 0 0 1 
3.85 0 0 1 
3.9 0 0 1 
3.95 0 0 1 
4 0 0 1 
4.05 0 0 1 
4.1 0 0 1 
4.15 0 0 1 
4.2 0 0 1 
4.25 0 0 1 
4.3 0 0 1 
4.35 0 0 1 
4.4 0 0 1 
4.45 0 0 1 
4.5 0 0 1 
4.55 0 0 1 
4.6 0 0 1 
4.65 0 0 1 
4.7 0 0 1 
4.75 0 0 1 
4.8 0 0 1 
4.85 0 0 1 
4.9 0 0 1 
4.95 0 0 1 
5 0 0 1 
0 0.05 -0.00644686 0.884673 
0.05 0.05 -0.00435146 0.881675 
0.1 0.05 -0.00216549 0.879928 
0.15 0.05 4.54297e-05 0.879408 
0.2 0.05 0.00222341 0.880099 
0.25 0.05 0.00430462 0.881972 
0.3 0.05 0.00622443 0.884983 
0.35 0.05 0.00792219 0.889073 
0.4 0.05 0.00934415 0.894165 
0.45 0.05 0.0104449 0.900167 
0.5 0.05 0.0111882 0.906969 
0.55 0.05 0.0115465 0.914438 
0.6 0.05 0.011502 0.922406 
0.65 0.05 0.0110464 0.930653 
0.7 0.05 0.0101832 0.938897 
0.75 0.05 0.00892981 0.946781 
0.8 0.05 0.00732001 0.953875 
0.85 0.05 0.0054065 0.959714 
0.9 0.05 0.00326111 0.963845 
0.95 0.05 0.000972463 0.965912 
1 0.05 -0.00135943 0.965723 
1.05 0.05 -0.00363098 0.963298 
1.1 0.05 -0.00574357 0.958858 
1.15 0.05 -0.0076111 0.952782 
1.2 0.05 -0.0091649 0.945529 
1.25 0.05 -0.0103556 0.937564 
1.3 0.05 -0.0111522 0.929304 
1.35 0.05 -0.0115402 0.921095 
1.4 0.05 -0.0115183 0.913208 
1.45 0.05 -0.0110969 0.905853 
1.5 0.05 -0.0102961 0.899191 
1.55 0.05 -0.00914548 0.893352 
1.6 0.05 -0.0076842 0.888441 
1.65 0.05 -0.0059608 0.884547 
1.7 0.05 -0.00403283 0.881739 
1.75 0.05 -0.00196562 0.880071 
1.8 0.05 0.000169732 0.879573 
1.85 0.05 0.0022992 0.880257 
1.9 0.05 0.00434902 0.882107 
1.95 0.05 0.00624885 0.885091 
2 0.05 0.00793445 0.889151 
2.05 0.05 0.00934964 0.894214 
2.1 0.05 0.0104474 0.900191 
2.15 0.05 0.01119 0.906971 
2.2 0.05 0.0115494 0.914422 
2.25 0.05 0.0115069 0.922375 
2.3 0.05 0.0110541 0.930612 
2.35 0.05 0.0101939 0.938851 
2.4 0.05 0.00894335 0.946734 
2.45 0.05 0.00733622 0.953833 
2.5 0.05 0.0054249 0.959681 
2.55 0.05 0.00328102 0.963826 
2.6 0.05 0.000993069 0.96591 
2.65 0.05 -0.00133902 0.96574 
2.7 0.05 -0.00361164 0.963332 
2.75 0.05 -0.00572612 0.958908 
2.8 0.05 -0.0075962 0.952844 
2.85 0.05 -0.00915304 0.945599 
2.9 0.05 -0.0103471 0.937637 
2.95 0.05 -0.0111472 0.929378 
3 0.05 -0.0115388 0.921167 
3.05 0.05 -0.0115205 0.913277 
3.1 0.05 -0.0111024 0.905916 
3.15 0.05 -0.0103047 0.899247 
3.2 0.05 -0.00915693 0.8934 
3.25 0.05 -0.00769807 0.888481 
3.3 0.05 -0.00597662 0.884578 
3.35 0.05 -0.00405006 0.881761 
3.4 0.05 -0.00198368 0.880082 
3.45 0.05 0.00015147 0.879575 
3.5 0.05 0.00228136 0.880249 
3.55 0.05 0.00433221 0.88209 
3.6 0.05 0.00623362 0.885064 
3.65 0.05 0.0079213 0.889115 
3.7 0.05 0.00933899 0.894171 
3.75 0.05 0.0104396 0.90014 
3.8 0.05 0.0111854 0.906914 
3.85 0.05 0.0115481 0.91436 
3.9 0.05 0.0115092 0.922309 
3.95 0.05 0.0110599 0.930545 
4 0.05 0.0102033 0.938785 
4.05 0.05 0.00895631 0.946673 
4.1 0.05 0.00735245 0.953782 
4.15 0.05 0.00544401 0.959645 
4.2 0.05 0.00330244 0.963811 
4.25 0.05 0.00101608 0.96592 
4.3 0.05 -0.00131527 0.965778 
4.35 0.05 -0.00358806 0.9634 
4.4 0.05 -0.00570368 0.959005 
4.45 0.05 -0.00757593 0.952969 
4.5 0.05 -0.00913608 0.94575 
4.55 0.05 -0.0103348 0.937813 
4.6 0.05 -0.0111417 0.929576 
4.65 0.05 -0.0115428 0.921384 
4.7 0.05 -0.0115383 0.91351 
4.75 0.05 -0.0111407 0.90616 
4.8 0.05 -0.0103736 0.899494 
4.85 0.05 -0.0092719 0.893632 
4.9 0.05 -0.0078834 0.88867 
4.95 0.05 -0.00626793 0.884673 
5 0.05 -0.00447351 0.881675 
0 0.1 -0.0217509 0.770681 
0.05 0.1 -0.0148962 0.764795 
0.1 0.1 -0.00744746 0.761294 
0.15 0.1 0.000225978 0.760237 
0.2 0.1 0.00783921 0.761605 
0.25 0.1 0.0151345 0.765337 
0.3 0.1 0.0218713 0.771345 
0.35 0.1 0.0278305 0.779502 
0.4 0.1 0.0328191 0.789656 
0.45 0.1 0.0366751 0.801622 
0.5 0.1 0.0392687 0.815182 
0.55 0.1 0.0405038 0.830075 
0.6 0.1 0.0403188 0.845973 
0.65 0.1 0.038689 0.86245 
0.7 0.1 0.0356325 0.878952 
0.75 0.1 0.0312163 0.894766 
0.8 0.1 0.0255654 0.909033 
0.85 0.1 0.0188676 0.920801 
0.9 0.1 0.0113741 0.929145 
0.95 0.1 0.00339053 0.933325 
1 0.1 -0.00474077 0.932944 
1.05 0.1 -0.0126659 0.928038 
1.1 0.1 -0.0200472 0.919073 
1.15 0.1 -0.026587 0.90683 
1.2 0.1 -0.0320444 0.892251 
1.25 0.1 -0.0362426 0.876278 
1.3 0.1 -0.0390671 0.85975 
1.35 0.1 -0.0404599 0.843352 
1.4 0.1 -0.0404115 0.827616 
1.45 0.1 -0.0389541 0.812949 
1.5 0.1 -0.0361572 0.799667 
1.55 0.1 -0.0321249 0.788023 
1.6 0.1 -0.0269962 0.778226 
1.65 0.1 -0.0209432 0.770453 
1.7 0.1 -0.0141697 0.764846 
1.75 0.1 -0.00690642 0.761513 
1.8 0.1 0.000596446 0.76052 
1.85 0.1 0.00807863 0.761885 
1.9 0.1 0.0152808 0.765582 
1.95 0.1 0.0219551 0.771539 
2 0.1 0.0278749 0.779642 
2.05 0.1 0.0328411 0.789743 
2.1 0.1 0.0366866 0.80166 
2.15 0.1 0.0392781 0.815179 
2.2 0.1 0.0405166 0.830038 
2.25 0.1 0.0403385 0.845908 
2.3 0.1 0.0387179 0.862366 
2.35 0.1 0.0356713 0.878857 
2.4 0.1 0.031265 0.894669 
2.45 0.1 0.0256231 0.908945 
2.5 0.1 0.0189327 0.920733 
2.55 0.1 0.0114442 0.929106 
2.6 0.1 0.00346284 0.933321 
2.65 0.1 -0.00466922 0.932977 
2.7 0.1 -0.0125982 0.928108 
2.75 0.1 -0.0199859 0.919174 
2.8 0.1 -0.0265345 0.906954 
2.85 0.1 -0.0320026 0.89239 
2.9 0.1 -0.0362125 0.876425 
2.95 0.1 -0.0390494 0.859898 
3 0.1 -0.0404548 0.843496 
3.05 0.1 -0.0404188 0.827752 
3.1 0.1 -0.0389733 0.813074 
3.15 0.1 -0.0361874 0.799779 
3.2 0.1 -0.0321651 0.788119 
3.25 0.1 -0.0270449 0.778306 
3.3 0.1 -0.0209987 0.770515 
3.35 0.1 -0.0142303 0.764889 
3.4 0.1 -0.00696989 0.761537 
3.45 0.1 0.000532241 0.760523 
3.5 0.1 0.0080159 0.761869 
3.55 0.1 0.0152217 0.765547 
3.6 0.1 0.0219016 0.771485 
3.65 0.1 0.0278287 0.779571 
3.7 0.1 0.0328038 0.789656 
3.75 0.1 0.0366593 0.801559 
3.8 0.1 0.0392619 0.815065 
3.85 0.1 0.0405123 0.829914 
3.9 0.1 0.0403467 0.845777 
3.95 0.1 0.0387387 0.862232 
4 0.1 0.0357047 0.878725 
